,News Source,Tweet Text,Tweet Date,Compound Score,Pos.score,Neg.score,Neu.score,Tweets ago
85,BBC News (World),"RT @BBCSport: Neymar has the lowest rating of any Brazil player today so far 😳

You can rate the Brazil and Costa Rica players yourself her…",Fri Jun 22 12:59:50 +0000 2018,-0.3818,0.0,0.098,0.902,86
86,BBC News (World),Turkey elections: How powerful will the next Turkish president be? https://t.co/F4JpXasNfY,Fri Jun 22 12:26:29 +0000 2018,0.4215,0.219,0.0,0.781,87
87,BBC News (World),Migrant children: Latin America unites in outrage https://t.co/DGiRSq1xrX,Fri Jun 22 12:21:43 +0000 2018,-0.5106,0.0,0.32,0.68,88
88,BBC News (World),"The new front line in the global war on terror

https://t.co/C4QBMjMLM5 #Longreads https://t.co/XrpIVZ2FTb",Fri Jun 22 12:14:05 +0000 2018,-0.8074,0.0,0.399,0.601,89
89,BBC News (World),North and South Korea agree to resume rare family reunions https://t.co/xwdwlrpjnP,Fri Jun 22 11:51:34 +0000 2018,0.3612,0.2,0.0,0.8,90
90,BBC News (World),"RT @BBCSport: ""I would beg fans for their forgiveness.”

Argentina coach Jorge Sampaoli has responded to the side’s loss to Croatia.

Read…",Fri Jun 22 11:51:23 +0000 2018,-0.3182,0.0,0.099,0.901,91
91,BBC News (World),What does it take to relocate a 195kg tiger in India? https://t.co/GyvjD97gvq,Fri Jun 22 11:42:18 +0000 2018,0.0,0.0,0.0,1.0,92
92,BBC News (World),Joseph Mbilinyi takes Tanzania to court over rap song ban https://t.co/lS9T6yC7kA,Fri Jun 22 11:32:42 +0000 2018,-0.5574,0.0,0.265,0.735,93
93,BBC News (World),Melania jacket: Five things 'I don't care' could mean https://t.co/c3Lv5RxzqU,Fri Jun 22 11:08:53 +0000 2018,-0.3875,0.0,0.226,0.774,94
94,BBC News (World),Venezuela crisis: UN says security forces killed hundreds https://t.co/x9QXDTFb2g,Fri Jun 22 10:54:54 +0000 2018,-0.802,0.141,0.506,0.353,95
95,BBC News (World),Japan: Cannabis plants found growing near MPs' offices https://t.co/CPk3RFP39f,Fri Jun 22 10:47:34 +0000 2018,0.1779,0.175,0.0,0.825,96
96,BBC News (World),"When a bear found itself trapped inside a car in California, one plucky sheriff took it upon himself to help it get… https://t.co/eYIACMJur6",Fri Jun 22 10:00:11 +0000 2018,-0.1779,0.108,0.135,0.757,97
97,BBC News (World),Turkey's elections explained in 100 and 400 words https://t.co/GPpYbhcffp,Fri Jun 22 09:57:02 +0000 2018,0.0,0.0,0.0,1.0,98
98,BBC News (World),RT @BBCTomFeilden: Mystery extinct ape found in ancient Chinese tomb https://t.co/mFRLOuXGUc,Fri Jun 22 09:35:59 +0000 2018,0.0,0.0,0.0,1.0,99
99,BBC News (World),Kate Spade's father dies night before designer's funeral https://t.co/PGNAVV8OLk,Fri Jun 22 08:41:55 +0000 2018,-0.3612,0.0,0.238,0.762,100
100,CBC News,John Holer was a Slovenian immigrant who worked with circuses before he opened Marineland in Niagara Falls in 1961… https://t.co/EIGxnKbiLH,Sun Jun 24 23:00:42 +0000 2018,0.0,0.0,0.0,1.0,1
101,CBC News,"Chelsey van Staveren says she thought she was seeing a ""dust devil"" near her family's farm in Saskatchewan — until… https://t.co/PiruBqfRT7",Sun Jun 24 22:30:26 +0000 2018,-0.6597,0.0,0.196,0.804,2
102,CBC News,Killdeer protecting its eggs right where the festival's main stage is set to be built. https://t.co/cdiCyQPl0e @KimberleyMolina,Sun Jun 24 22:00:09 +0000 2018,-0.2732,0.0,0.116,0.884,3
103,CBC News,"""We could put hundreds of millions of dollars back into the industry,"" says one tech entrepreneur. https://t.co/pySP8rqdhy @DianneBuckner",Sun Jun 24 21:30:05 +0000 2018,0.0,0.0,0.0,1.0,4
104,CBC News,Plus: Hudson's Bay and other stores pressured to dump Trump family products https://t.co/AXV1RXTZrR @avneetdhillon,Sun Jun 24 21:00:16 +0000 2018,-0.5423,0.0,0.273,0.727,5
